	I		II		III		IV		V		VI		VII		VIII		IX		X		XI		XII
Spinazie - Paarse Komatsuna					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Spinazie - Winterreuzen															Z	Z	Z	Z					
Spinazie (Palco F1 Hybride)					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							
Spruitjes (Groningen)							Z	Z	Z	Z	Z	Z											
Strobloem							Z	Z	Z	Z	Z	Z											
Sugar snaps					Z	Z	Z	Z	Z	Z	Z	Z											
Tagetes - Patula Nana						Z	Z	Z	Z	Z	Z	Z	Z										
Tomaat					Z	Z	Z			P	P												
Tomatillo paars					Z	Z	Z			P													
Valeriaan							Z	Z	Z	Z	Z	Z											
Verbena bonariensis - Eisenkraut									Z	Z													
Winterpostelein													Z	Z	Z	Z	Z	Z					
Wortel - mini lenteworteltjes - Bambino			Z	Z	Z	Z	Z	Z															
Wortel - mix van zomerwortel					Z	Z	Z	Z															
Wortel - Parijse worteltjes - Paris Market					Z	Z	Z	Z															
Wortelpeterselie							Z	Z	Z	Z	Z	Z											
Wortels (Nantes)			Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z										
Zinnia							Z	Z	Z	Z/P	Z/P												
Zomeraster						Z	Z	Z	Z														
Zonnenbloemen - Double Sunking									Z	Z	Z	Z	Z	Z	Z								
Zonnenbloemen - Helianthus Hella Sonnenblume									Z	Z	Z	Z	Z										
Zonnenbloemen - Helianthus Sunspot - Zwergsonnenblume									Z	Z	Z	Z	Z										
Zonnenbloemen - Helianthus Valentin Sonnenblume									Z	Z	Z	Z	Z										
Zonnenbloemen - Sonnenblume							Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							
